CustomerID,CustomerAge,CustomerGender,CustomerCountry
1,72,Male,Germany
2,32,Male,Sweden
3,70,Female,Turkey
4,68,Female,Sweden
5,80,Male,Sweden
6,57,Female,Netherlands
7,53,Male,Turkey
8,38,Female,Turkey
9,32,Other,Netherlands
10,76,Other,Germany
11,30,Female,Germany
12,78,Male,Turkey
13,55,Male,Turkey
14,59,Female,Turkey
15,61,Male,Turkey
16,39,Male,Turkey
17,52,Male,Germany
18,27,Male,Germany
19,55,Other,Netherlands
20,18,Male,Turkey
21,56,Male,Sweden
22,36,Female,Turkey
23,72,Male,Turkey
24,69,Male,Germany
25,41,Male,Germany
26,79,Male,Turkey
27,60,Female,Germany
28,20,Female,Turkey
29,52,Male,Gibraltar
30,52,Other,Germany
31,71,Female,Turkey
32,40,Male,Turkey
33,48,Female,Netherlands
34,68,Female,Germany
35,64,Female,Germany
36,80,Male,Netherlands
37,27,Male,Turkey
38,47,Male,Turkey
39,61,Male,Turkey
40,35,Male,Turkey
41,49,Female,Turkey
42,77,Male,Germany
43,67,Female,Turkey
44,77,Male,Turkey
45,48,Female,Turkey
46,60,Male,Turkey
47,71,Female,Sweden
48,70,Other,Sweden
49,54,Female,Turkey
50,58,Male,Turkey
51,56,Other,Germany
52,60,Male,Turkey
53,74,Female,Turkey
54,40,Other,Germany
55,57,Male,Turkey
56,59,Female,Turkey
57,36,Female,Turkey
58,57,Female,Germany
59,77,Female,Netherlands
60,46,Male,Turkey
61,38,Male,Germany
62,65,Male,Turkey
63,54,Male,Turkey
64,26,Female,Turkey
65,78,Male,Netherlands
66,65,Male,Germany
67,57,Male,Turkey
68,55,Male,Sweden
69,73,Female,Netherlands
70,56,Female,Zambia
71,60,Other,Turkey
72,43,Male,Germany
73,58,Male,Guinea-Bissau
74,55,Male,Turkey
75,78,Male,Netherlands
76,34,Female,Turkey
77,55,Female,Turkey
78,53,Male,Turkey
79,52,Female,Turkey
80,45,Female,Turkey
81,25,Male,Netherlands
82,56,Male,Turkey
83,75,Other,Turkey
84,76,Female,Germany
85,45,Female,Sweden
86,73,Male,Germany
87,43,Female,Turkey
88,45,Male,Netherlands
89,32,Male,Germany
90,64,Other,Germany
91,50,Male,Germany
92,72,Male,Germany
93,62,Female,Turkey
94,78,Female,Sao Tome and Principe
95,26,Male,Germany
96,58,Female,Turkey
97,42,Male,Turkey
98,73,Female,Germany
99,21,Female,Turkey
100,57,Male,Germany
101,75,Male,Netherlands
102,51,Female,Netherlands
103,26,Male,Germany
104,78,Female,Turkey
105,24,Female,Turkey
106,63,Female,Germany
107,71,Male,Germany
108,59,Male,Turkey
109,68,Male,Faroe Islands
110,60,Female,Turkey
111,35,Other,Germany
112,67,Female,Germany
113,54,Male,Germany
114,73,Male,Turkey
115,62,Female,Sweden
116,64,Female,Congo
117,55,Other,Turkey
118,49,Male,Germany
119,56,Other,Turkey
120,53,Male,Turkey
121,78,Female,Sweden
122,34,Male,United Arab Emirates
123,56,Male,Turkey
124,63,Female,Turkey
125,53,Male,Netherlands
126,35,Other,Turkey
127,59,Male,Germany
128,20,Male,Turkey
129,56,Male,Turkey
130,74,Female,Germany
131,46,Female,Germany
132,62,Female,Germany
133,53,Male,Germany
134,56,Other,Germany
135,50,Male,Turkey
136,59,Male,Turkey
137,55,Male,Turkey
138,56,Female,French Southern Territories
139,57,Male,Germany
140,33,Other,Turkey
141,64,Female,Turkey
142,75,Male,Turkey
143,24,Female,Turkey
144,32,Male,Netherlands
145,35,Male,Turkey
146,72,Female,Turkey
147,63,Male,Turkey
148,65,Male,Turkey
149,24,Female,Turkey
150,57,Male,Turkey
151,34,Female,Turkey
152,64,Male,Turkey
153,36,Male,Sweden
154,64,Male,Germany
155,30,Other,Germany
156,31,Male,Turkey
157,69,Male,Turkey
158,63,Female,Sweden
159,19,Male,Turkey
160,69,Male,Netherlands
161,59,Female,Turkey
162,59,Female,Germany
163,42,Female,Turkey
164,59,Male,Turkey
165,60,Female,Turkey
166,38,Female,Germany
167,18,Male,Germany
168,56,Female,Turkey
169,53,Male,Turkey
170,52,Male,Turkey
171,23,Female,Turkey
172,38,Female,Germany
173,53,Male,Sweden
174,26,Female,Turkey
175,80,Male,Turkey
176,35,Male,Turkey
177,53,Male,Turkey
178,56,Male,Netherlands
179,59,Male,Turkey
180,72,Male,Turkey
181,72,Male,Turkey
182,68,Male,Turkey
183,60,Male,Turkey
184,34,Male,Sweden
185,73,Male,Turkey
186,19,Male,Netherlands
187,53,Male,Sweden
188,23,Male,Germany
189,72,Other,Germany
190,68,Male,Turkey
191,57,Male,Turkey
192,79,Female,Germany
193,66,Male,Netherlands
194,67,Female,Turkey
195,52,Male,Lithuania
196,55,Male,Turkey
197,70,Male,Netherlands
198,71,Female,Turkey
199,58,Male,Turkey
200,54,Male,Turkey
201,57,Male,Turkey
202,54,Male,Netherlands
203,71,Female,Turkey
204,58,Male,Turkey
205,73,Female,Netherlands
206,79,Other,Turkey
207,61,Female,Turkey
208,73,Male,Netherlands
209,26,Other,Sweden
210,52,Other,Turkey
211,68,Male,Turkey
212,77,Male,Germany
213,24,Male,Germany
214,69,Male,Turkey
215,24,Male,Germany
216,73,Male,Sweden
217,55,Male,Germany
218,41,Other,Turkey
219,68,Female,Germany
220,60,Other,Russian Federation
221,50,Female,Turkey
222,60,Male,Turkey
223,38,Male,Germany
224,52,Male,Germany
225,56,Female,Turkey
226,56,Female,Turkey
227,54,Female,Germany
228,80,Female,Turkey
229,59,Other,Turkey
230,54,Female,Turkey
231,59,Female,Turkey
232,36,Female,Sweden
233,74,Female,Germany
234,61,Male,Germany
235,58,Female,Central African Republic
236,56,Other,Germany
237,71,Male,Turkey
238,40,Male,Turkey
239,56,Female,Turkey
240,19,Other,Turkey
241,18,Male,Germany
242,69,Male,Germany
243,77,Male,Germany
244,56,Male,Turkey
245,70,Male,Turkey
246,39,Female,Netherlands
247,55,Male,Turkey
248,33,Male,Germany
249,73,Female,Germany
250,74,Female,Turkey
251,59,Male,Turkey
252,37,Male,Turkey
253,67,Male,Turkey
254,49,Female,Germany
255,28,Male,Germany
256,55,Male,Netherlands
257,55,Female,Turkey
258,56,Male,Sweden
259,77,Other,Turkey
260,80,Female,Netherlands
261,53,Male,Germany
262,68,Male,Turkey
263,50,Male,Turkey
264,55,Male,Turkey
265,53,Male,Turkey
266,54,Female,Turkey
267,52,Male,Germany
268,79,Female,Turkey
269,76,Male,Turkey
270,56,Female,Turkey
271,57,Male,Germany
272,75,Male,Sweden
273,54,Female,Turkey
274,54,Male,Turkey
275,66,Male,Turkey
276,66,Male,Turkey
277,62,Male,Turkey
278,79,Male,Netherlands
279,57,Male,Turkey
280,72,Female,Turkey
281,52,Male,Sweden
282,53,Other,Germany
283,65,Female,Germany
284,54,Female,Turkey
285,80,Male,Turkey
286,52,Male,Turkey
287,49,Male,Netherlands
288,33,Male,Turkey
289,62,Female,Germany
290,78,Female,Turkey
291,52,Female,Turkey
292,65,Female,Germany
293,36,Female,Germany
294,58,Male,Germany
295,67,Female,Turkey
296,55,Male,Sweden
297,74,Male,Sweden
298,19,Male,Turkey
299,53,Female,Turkey
300,55,Male,Turkey
301,65,Male,Germany
302,72,Male,Turkey
303,67,Male,Germany
304,22,Male,Turkey
305,64,Female,Turkey
306,76,Female,Turkey
307,30,Female,Turkey
308,76,Female,Turkey
309,22,Female,Germany
310,71,Other,Turkey
311,55,Male,Sweden
312,72,Male,Germany
313,37,Male,Netherlands
314,70,Male,Turkey
315,58,Male,Turkey
316,52,Female,Turkey
317,24,Male,Germany
318,73,Other,Germany
319,71,Female,Turkey
320,67,Female,Germany
321,73,Other,Turkey
322,55,Male,Turkey
323,60,Male,Turkey
324,73,Female,Germany
325,58,Female,Turkey
326,69,Other,Turkey
327,48,Female,Cook Islands
328,74,Male,Germany
329,56,Female,Turkey
330,60,Male,Turkey
331,41,Female,Turkey
332,19,Female,Turkey
333,66,Other,Germany
334,78,Female,Sweden
335,77,Female,Turkey
336,35,Male,Germany
337,72,Male,Germany
338,70,Male,Turkey
339,51,Male,Germany
340,34,Female,Turkey
341,45,Male,Turkey
342,54,Female,Turkey
343,35,Male,Turkey
344,55,Male,Turkey
345,69,Male,Turkey
346,72,Male,Turkey
347,52,Female,Turkey
348,30,Male,Netherlands
349,35,Male,Germany
