OrderID,CustomerID,CustomerCount,RoomNumber,CheckInDate,CheckOutDate,StayDuration,TotalCost,PaymentMethod,SeasonalFactor
1,1,2,117,2024-01-01,2024-01-02,1,143.23,Online Transfer,normal
2,3,1,105,2024-01-01,2024-01-02,1,98.05,Credit Card,normal
3,4,2,112,2024-01-01,2024-01-02,1,146.95,Credit Card,normal
4,6,1,104,2024-01-01,2024-01-02,1,102.13,Online Transfer,normal
5,7,1,103,2024-01-01,2024-01-02,1,97.21,Online Transfer,normal
6,8,1,106,2024-01-01,2024-01-05,4,410.36,Cash,normal
7,9,2,118,2024-01-01,2024-01-03,2,399.43,Credit Card,normal
8,11,2,116,2024-01-01,2024-01-05,4,578.17,Credit Card,normal
9,13,1,109,2024-01-01,2024-01-06,5,486.45,Credit Card,normal
10,14,2,111,2024-01-01,2024-01-04,3,450.42,Online Transfer,normal
11,16,2,114,2024-01-01,2024-01-02,1,146.98,Online Transfer,normal
12,18,1,112,2024-01-02,2024-01-08,6,904.75,Online Transfer,normal
13,19,1,102,2024-01-02,2024-01-03,1,104.87,Credit Card,normal
14,20,1,109,2024-01-02,2024-01-10,8,770.74,Credit Card,normal
15,21,1,116,2024-01-02,2024-01-03,1,149.77,Credit Card,normal
16,22,1,107,2024-01-02,2024-01-08,6,608.43,Credit Card,normal
17,23,1,117,2024-01-02,2024-01-08,6,914.79,Online Transfer,normal
18,24,1,115,2024-01-02,2024-01-03,1,143.24,Cash,normal
19,25,1,106,2024-01-03,2024-01-04,1,96.9,Credit Card,normal
20,26,2,114,2024-01-03,2024-01-05,2,309.43,Online Transfer,normal
21,28,3,118,2024-01-03,2024-01-05,2,398.3,Credit Card,normal
22,31,1,102,2024-01-03,2024-01-04,1,101.66,Online Transfer,normal
23,32,1,101,2024-01-03,2024-01-04,1,95.62,Credit Card,normal
24,33,1,103,2024-01-03,2024-01-10,7,695.71,Cash,normal
25,34,2,111,2024-01-03,2024-01-04,1,156.36,Cash,normal
